,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE","21/03/2023, PRACTICE",,
,"12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ","12:07:00 AM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,,
Str 0-1 (End),5.025,4.963,4.960,4.928,4.907,4.949,4.943,4.992,4.990,4.901,4.960,4.884,4.945,5.193,5.004,5.127,4.884,4.907
Turn 1,3.351,3.379,3.395,3.373,3.418,3.417,3.375,3.427,3.419,3.430,3.425,4.325,3.450,3.529,3.429,3.497,3.351,3.418
Str 1-2,3.832,3.865,3.847,3.833,3.825,3.872,3.910,3.826,3.826,3.850,3.803,4.372,3.823,3.996,3.855,3.961,3.803,3.825
Turn 2,1.747,1.714,1.755,1.740,1.697,1.738,1.711,1.724,1.691,1.752,1.742,1.880,1.780,1.859,1.779,2.002,1.691,1.697
Str 2-3,1.389,1.417,1.369,1.384,1.413,1.389,1.354,1.353,1.411,1.390,1.377,1.413,1.395,1.370,1.393,1.653,1.353,1.384
Turn 3,3.253,3.247,3.276,3.245,3.229,3.216,3.220,3.289,3.240,3.270,3.275,3.283,3.381,3.318,3.359,3.331,3.216,3.245
Str 3-4,5.530,5.454,5.620,5.455,5.522,5.456,5.612,5.460,5.538,5.520,5.494,5.635,5.599,5.589,5.623,5.736,5.454,5.455
Turn 4,1.304,1.301,1.312,1.303,1.307,1.304,1.316,1.307,1.307,1.307,1.303,1.312,1.307,1.312,1.312,1.317,1.301,1.303
Str 4-5,1.001,1.000,1.006,1.000,1.003,1.001,1.011,1.003,1.003,1.004,1.003,1.008,1.005,1.009,1.009,1.012,1.000,1.000
Turn 5,1.152,1.152,1.156,1.152,1.154,1.155,1.160,1.153,1.155,1.156,1.155,1.160,1.158,1.162,1.159,1.165,1.152,1.152
Str 5-6,1.106,1.116,1.118,1.106,1.109,1.114,1.109,1.115,1.104,1.122,1.099,1.124,1.127,1.114,1.116,1.127,1.099,1.106
Turn 6,3.599,3.607,3.531,3.601,3.605,3.579,3.581,3.600,3.589,3.589,3.587,3.657,3.588,3.640,3.716,5.639,3.531,3.601
Str 6-7,2.015,2.050,2.017,2.052,2.047,2.039,2.022,2.041,2.026,2.076,2.029,2.125,2.033,2.140,2.126,2.951,2.015,2.052
Turn 7,2.518,2.522,2.505,2.553,2.535,2.527,2.488,2.500,2.525,2.578,2.498,2.938,2.621,2.716,2.754,3.185,2.488,2.553
Str 7-8,1.868,1.865,1.880,1.868,1.901,1.826,1.849,1.802,1.833,1.879,1.818,1.957,1.924,1.888,1.866,2.078,1.802,1.868
Turn 8,2.494,2.491,2.537,2.511,2.428,2.486,2.490,2.526,2.513,2.541,2.586,2.652,2.596,2.582,2.775,2.597,2.428,2.511
Str 8-9,2.545,2.536,2.584,2.528,2.700,2.553,2.584,2.540,2.576,2.523,2.570,2.813,2.611,2.614,2.585,2.707,2.523,2.528
Turn 9,3.245,3.295,3.252,3.282,3.246,3.224,3.312,3.226,3.243,3.261,3.213,3.247,3.270,3.210,3.249,3.275,3.210,3.282
Str 9-10,8.357,8.297,8.332,8.305,8.379,8.327,8.398,8.396,8.373,8.374,8.313,8.513,8.365,8.464,8.488,8.632,8.297,8.305
Turn 10,0.716,0.729,0.743,0.758,0.747,0.760,0.742,0.824,0.712,0.820,0.762,0.756,0.771,0.898,0.794,0.780,0.712,0.758
Str 10-11,1.397,1.380,1.363,1.411,1.412,1.427,1.345,1.408,1.396,1.438,1.425,1.399,1.397,1.667,1.485,1.432,1.345,1.411
Turn 11,1.899,1.845,1.773,1.754,1.732,1.834,1.775,1.721,1.839,1.765,1.760,1.832,1.828,1.862,2.293,1.829,1.721,1.754
Str 11-12,4.858,4.737,4.748,4.675,4.875,4.806,4.779,4.754,4.788,4.719,4.768,4.869,5.039,4.845,5.843,4.898,4.675,4.675
Turn 12,2.131,2.106,2.091,2.087,2.109,2.113,2.090,2.121,2.094,2.080,2.096,2.202,2.459,2.194,2.199,2.339,2.080,2.087
Str 12-13,1.556,1.574,1.582,1.570,1.587,1.579,1.574,1.581,1.551,1.558,1.581,1.626,6.135,1.617,1.858,1.715,1.551,1.570
Turn 13,3.021,3.039,3.034,3.031,3.048,3.045,3.032,3.040,3.014,3.025,3.043,3.079,4.314,3.084,3.541,3.248,3.014,3.031
Str 0-1 (Start),3.590,3.598,3.597,3.584,3.611,3.593,3.593,3.596,3.588,3.594,3.604,3.615,3.876,3.632,3.829,3.730,3.584,3.584
Totals,74.502,74.277,74.384,74.091,74.547,74.331,74.375,74.325,74.344,74.521,74.291,77.677,81.798,76.504,78.440,80.962,73.280,74.063
