,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"15/03/2023, PRACTICE","15/03/2023, PRACTICE","15/03/2023, PRACTICE","15/03/2023, PRACTICE","15/03/2023, PRACTICE","15/03/2023, PRACTICE","15/03/2023, PRACTICE","15/03/2023, PRACTICE",,
,"12:22:00 AM, Tires: Slick Medium (M) ","12:22:00 AM, Tires: Slick Medium (M) ","12:22:00 AM, Tires: Slick Medium (M) ","12:22:00 AM, Tires: Slick Medium (M) ","12:22:00 AM, Tires: Slick Medium (M) ","12:22:00 AM, Tires: Slick Medium (M) ","12:22:00 AM, Tires: Slick Medium (M) ","12:22:00 AM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,,
Str 0-1 (End),4.956,4.928,4.951,5.017,5.025,5.068,5.010,4.943,4.928,5.010
Turn 1,3.424,3.438,3.400,3.391,3.407,3.472,3.370,3.410,3.370,3.370
Str 1-2,3.886,3.829,3.907,3.882,3.885,3.905,3.844,3.845,3.829,3.844
Turn 2,1.765,1.750,1.750,1.775,1.784,1.745,1.705,1.766,1.705,1.705
Str 2-3,1.431,1.434,1.377,1.427,1.421,1.465,1.447,1.411,1.377,1.447
Turn 3,3.327,3.254,3.314,3.279,3.326,3.213,3.245,3.268,3.213,3.245
Str 3-4,5.435,5.454,5.520,5.429,5.469,5.460,5.468,5.542,5.429,5.468
Turn 4,1.304,1.312,1.311,1.309,1.311,1.310,1.307,1.312,1.304,1.307
Str 4-5,1.004,1.008,1.008,1.008,1.007,1.005,1.005,1.008,1.004,1.005
Turn 5,1.156,1.159,1.160,1.161,1.160,1.157,1.156,1.161,1.156,1.156
Str 5-6,1.141,1.108,1.106,1.120,1.143,1.108,1.127,1.139,1.106,1.127
Turn 6,3.634,3.680,3.610,3.572,3.669,3.625,3.614,3.619,3.572,3.614
Str 6-7,2.085,2.075,2.054,2.096,2.089,2.071,2.086,2.083,2.054,2.086
Turn 7,2.613,2.636,2.568,2.587,2.532,2.522,2.548,2.563,2.522,2.548
Str 7-8,1.979,1.941,1.894,1.884,1.913,1.899,1.924,1.981,1.884,1.924
Turn 8,2.537,2.513,2.534,2.553,2.518,2.471,2.446,2.459,2.446,2.446
Str 8-9,2.520,2.575,2.590,2.540,2.506,2.588,2.566,2.583,2.506,2.566
Turn 9,3.235,3.200,3.235,3.206,3.230,3.301,3.244,3.179,3.179,3.244
Str 9-10,8.454,8.248,8.355,8.399,8.372,8.442,8.395,8.508,8.248,8.395
Turn 10,0.749,0.701,0.779,0.727,0.749,0.776,0.737,0.762,0.701,0.737
Str 10-11,1.521,1.513,1.508,1.497,1.518,1.474,1.474,1.394,1.394,1.474
Turn 11,1.701,1.809,1.733,1.772,1.830,1.627,1.720,1.717,1.627,1.627
Str 11-12,4.735,4.711,4.759,4.726,4.828,4.707,4.714,4.811,4.707,4.707
Turn 12,2.167,2.140,2.156,2.129,2.193,2.126,2.118,2.112,2.112,2.126
Str 12-13,1.534,1.573,1.575,1.561,1.595,1.561,1.548,1.538,1.534,1.561
Turn 13,3.016,3.056,3.048,3.042,3.066,3.034,3.033,3.018,3.016,3.034
Str 0-1 (Start),3.432,3.449,3.447,3.449,3.452,3.437,3.442,3.442,3.432,3.437
Totals,74.739,74.492,74.648,74.536,74.998,74.571,74.295,74.573,73.354,74.213
