,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"16/03/2023, PRACTICE","16/03/2023, PRACTICE","16/03/2023, PRACTICE","16/03/2023, PRACTICE","16/03/2023, PRACTICE","16/03/2023, PRACTICE","16/03/2023, PRACTICE",,
,"12:36:00 AM, Tires: Slick Medium (M) ","12:36:00 AM, Tires: Slick Medium (M) ","12:36:00 AM, Tires: Slick Medium (M) ","12:36:00 AM, Tires: Slick Medium (M) ","12:36:00 AM, Tires: Slick Medium (M) ","12:36:00 AM, Tires: Slick Medium (M) ","12:36:00 AM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,,
Str 0-1 (End),4.984,4.990,4.965,4.960,4.919,4.926,5.010,4.919,4.965
Turn 1,3.356,3.400,3.383,3.397,3.802,3.518,3.423,3.356,3.383
Str 1-2,3.828,3.841,3.840,3.855,3.940,3.869,3.832,3.828,3.840
Turn 2,1.756,1.748,1.705,1.753,1.792,1.744,1.799,1.705,1.705
Str 2-3,1.341,1.448,1.395,1.393,1.438,1.356,1.371,1.341,1.395
Turn 3,3.335,3.265,3.297,3.413,3.313,3.276,3.302,3.265,3.265
Str 3-4,5.561,5.415,5.467,5.778,5.662,5.576,5.553,5.415,5.415
Turn 4,1.315,1.308,1.308,1.319,1.316,1.314,1.314,1.308,1.308
Str 4-5,1.009,1.007,1.006,1.011,1.009,1.013,1.008,1.006,1.007
Turn 5,1.160,1.161,1.157,1.163,1.160,1.166,1.159,1.157,1.161
Str 5-6,1.102,1.115,1.114,1.140,1.120,1.112,1.100,1.100,1.115
Turn 6,3.586,3.605,3.622,3.621,3.601,3.630,3.631,3.586,3.605
Str 6-7,2.070,2.065,2.065,2.068,2.106,2.080,2.089,2.065,2.065
Turn 7,2.548,2.551,2.597,2.539,2.577,2.637,2.616,2.539,2.551
Str 7-8,1.817,1.950,1.924,1.805,1.901,1.920,1.892,1.805,1.950
Turn 8,2.554,2.504,2.529,2.539,2.547,2.584,2.572,2.504,2.504
Str 8-9,2.587,2.513,2.523,2.512,2.444,2.582,2.548,2.444,2.513
Turn 9,3.295,3.234,3.223,3.219,3.335,3.279,3.279,3.219,3.234
Str 9-10,8.376,8.284,8.430,8.368,8.420,8.292,8.388,8.284,8.284
Turn 10,0.748,0.732,0.736,0.763,0.765,0.743,0.719,0.719,0.732
Str 10-11,1.454,1.432,1.444,1.459,1.479,1.469,1.515,1.432,1.432
Turn 11,1.778,1.742,1.756,1.797,1.793,1.835,1.759,1.742,1.742
Str 11-12,4.846,4.883,4.722,4.703,4.712,4.824,4.708,4.703,4.883
Turn 12,2.107,2.094,2.099,2.145,2.131,2.129,2.102,2.094,2.094
Str 12-13,1.548,1.555,1.563,1.555,1.566,1.582,1.549,1.548,1.555
Turn 13,3.028,3.035,3.036,3.048,3.049,3.064,3.022,3.022,3.035
Str 0-1 (Start),3.435,3.438,3.440,3.439,3.450,3.465,3.434,3.434,3.438
Totals,74.521,74.314,74.346,74.763,75.348,74.987,74.694,73.538,74.174
