,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"3/04/2023, PRACTICE","3/04/2023, PRACTICE","3/04/2023, PRACTICE","3/04/2023, PRACTICE","3/04/2023, PRACTICE","3/04/2023, PRACTICE",,
,"12:25:00 PM, Tires: Slick Medium (M) ","12:25:00 PM, Tires: Slick Medium (M) ","12:25:00 PM, Tires: Slick Medium (M) ","12:25:00 PM, Tires: Slick Medium (M) ","12:25:00 PM, Tires: Slick Medium (M) ","12:25:00 PM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,,
Str 0-1 (End),4.949,4.964,4.894,4.950,4.962,4.919,4.894,4.962
Turn 1,3.437,3.501,3.475,3.471,3.430,3.434,3.430,3.430
Str 1-2,3.858,3.814,3.820,3.793,3.775,3.790,3.775,3.775
Turn 2,1.755,1.756,1.726,1.687,1.721,1.843,1.687,1.721
Str 2-3,1.411,1.441,1.385,1.379,1.402,1.448,1.379,1.402
Turn 3,3.322,3.352,3.302,3.382,3.342,3.381,3.302,3.342
Str 3-4,5.521,5.503,5.511,5.442,5.428,5.430,5.428,5.428
Turn 4,1.322,1.318,1.317,1.317,1.314,1.315,1.314,1.314
Str 4-5,1.017,1.015,1.014,1.015,1.012,1.011,1.011,1.012
Turn 5,1.172,1.172,1.168,1.170,1.167,1.167,1.167,1.167
Str 5-6,1.120,1.132,1.117,1.114,1.121,1.129,1.114,1.121
Turn 6,3.536,3.635,3.576,3.525,3.517,3.535,3.517,3.517
Str 6-7,2.061,2.077,2.111,2.058,2.074,2.059,2.058,2.074
Turn 7,2.500,2.515,2.612,2.620,2.536,2.544,2.500,2.536
Str 7-8,1.856,1.916,1.899,1.874,1.919,1.925,1.856,1.919
Turn 8,2.529,2.523,2.536,2.577,2.529,2.445,2.445,2.529
Str 8-9,2.529,2.561,2.554,2.506,2.567,2.581,2.506,2.567
Turn 9,3.261,3.217,3.325,3.348,3.266,3.318,3.217,3.266
Str 9-10,8.524,8.472,8.505,8.456,8.387,8.501,8.387,8.387
Turn 10,0.752,0.762,0.817,0.771,0.765,0.761,0.752,0.765
Str 10-11,1.507,1.559,1.461,1.525,1.571,1.586,1.461,1.571
Turn 11,1.664,1.622,1.709,1.732,1.748,1.677,1.622,1.748
Str 11-12,4.734,4.669,4.614,4.687,4.563,4.663,4.563,4.563
Turn 12,2.078,2.171,2.117,2.101,2.163,2.083,2.078,2.101
Str 12-13,1.559,1.573,1.547,1.547,1.560,1.525,1.525,1.547
Turn 13,3.043,3.054,3.033,3.032,3.040,3.016,3.016,3.032
Str 0-1 (Start),3.473,3.474,3.462,3.464,3.460,3.460,3.460,3.464
Totals,74.492,74.770,74.607,74.546,74.343,74.546,73.467,74.265
