,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"27/03/2023, PRACTICE","27/03/2023, PRACTICE","27/03/2023, PRACTICE",,
,"10:14:00 PM, Tires: Slick Medium (M) ","10:14:00 PM, Tires: Slick Medium (M) ","10:14:00 PM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,,
Str 0-1 (End),4.974,5.032,5.010,4.974,5.010
Turn 1,3.484,3.487,3.444,3.444,3.444
Str 1-2,3.934,3.835,3.860,3.835,3.860
Turn 2,1.795,1.754,1.731,1.731,1.731
Str 2-3,1.475,1.399,1.444,1.399,1.444
Turn 3,3.320,3.418,3.247,3.247,3.247
Str 3-4,5.495,5.553,5.531,5.495,5.531
Turn 4,1.315,1.322,1.318,1.315,1.318
Str 4-5,1.012,1.016,1.015,1.012,1.015
Turn 5,1.169,1.173,1.169,1.169,1.169
Str 5-6,1.137,1.128,1.125,1.125,1.125
Turn 6,3.545,3.517,3.515,3.515,3.515
Str 6-7,2.061,2.055,2.062,2.055,2.062
Turn 7,2.488,2.513,2.441,2.441,2.441
Str 7-8,1.884,1.911,1.929,1.884,1.929
Turn 8,2.596,2.596,2.541,2.541,2.541
Str 8-9,2.599,2.618,2.585,2.585,2.585
Turn 9,3.208,3.234,3.233,3.208,3.233
Str 9-10,8.448,8.531,8.452,8.448,8.452
Turn 10,0.748,0.799,0.738,0.738,0.738
Str 10-11,1.506,1.556,1.476,1.476,1.476
Turn 11,1.740,1.703,1.721,1.703,1.721
Str 11-12,4.635,4.818,4.599,4.599,4.599
Turn 12,2.141,2.085,2.094,2.085,2.094
Str 12-13,1.588,1.669,1.574,1.574,1.574
Turn 13,3.068,3.152,3.051,3.051,3.051
Str 0-1 (Start),3.473,3.488,3.469,3.469,3.469
Totals,74.839,75.362,74.374,74.118,74.374
