,"ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE","ks_zandvoort, AC_LIVE",Eclectic,Rolling Minimum
,"Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004","Gunnr, ks_ferrari_f2004",,
,"20/03/2023, PRACTICE","20/03/2023, PRACTICE","20/03/2023, PRACTICE","20/03/2023, PRACTICE","20/03/2023, PRACTICE",,
,"11:47:00 PM, Tires: Slick Medium (M) ","11:47:00 PM, Tires: Slick Medium (M) ","11:47:00 PM, Tires: Slick Medium (M) ","11:47:00 PM, Tires: Slick Medium (M) ","11:47:00 PM, Tires: Slick Medium (M) ",,
,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,,
Str 0-1 (End),5.010,5.024,5.046,5.025,5.046,5.010,5.046
Turn 1,3.466,3.426,3.404,3.369,3.411,3.369,3.411
Str 1-2,3.871,3.937,3.819,3.931,3.897,3.819,3.897
Turn 2,1.768,1.737,1.761,1.802,1.746,1.737,1.746
Str 2-3,1.487,1.399,1.427,1.377,1.397,1.377,1.397
Turn 3,3.244,3.393,3.268,3.257,3.245,3.244,3.245
Str 3-4,5.415,5.818,5.437,5.496,5.505,5.415,5.505
Turn 4,1.305,1.330,1.309,1.308,1.312,1.305,1.312
Str 4-5,1.002,1.020,1.005,1.005,1.007,1.002,1.007
Turn 5,1.155,1.172,1.156,1.157,1.159,1.155,1.159
Str 5-6,1.113,1.116,1.129,1.118,1.134,1.113,1.134
Turn 6,3.610,3.639,3.564,3.556,3.547,3.547,3.547
Str 6-7,2.085,2.086,2.038,2.053,2.043,2.038,2.043
Turn 7,2.509,2.644,2.576,2.605,2.607,2.509,2.607
Str 7-8,1.979,1.804,1.943,1.954,1.936,1.804,1.936
Turn 8,2.481,2.644,2.482,2.495,2.522,2.481,2.522
Str 8-9,2.613,2.674,2.724,2.581,2.636,2.581,2.636
Turn 9,3.227,3.305,3.250,3.268,3.258,3.227,3.258
Str 9-10,8.573,8.537,8.422,8.743,8.488,8.422,8.488
Turn 10,0.789,0.789,0.751,0.739,0.726,0.726,0.726
Str 10-11,1.530,1.427,1.383,1.458,1.382,1.382,1.382
Turn 11,1.723,1.784,1.836,1.781,1.788,1.723,1.781
Str 11-12,4.666,4.718,4.778,4.701,4.782,4.666,4.701
Turn 12,2.080,2.101,2.123,2.073,2.089,2.073,2.073
Str 12-13,1.543,1.585,1.563,1.539,1.542,1.539,1.539
Turn 13,3.022,3.060,3.047,3.024,3.018,3.018,3.024
Str 0-1 (Start),3.429,3.462,3.456,3.440,3.440,3.429,3.440
Totals,74.694,75.631,74.697,74.852,74.662,73.708,74.561
