,Str 0-1 (End),Turn 1,Str 1-2,Turn 2,Str 2-3,Turn 3,Str 3-4,Turn 4,Str 4-5,Turn 5,Str 5-6,Turn 6,Str 6-7,Turn 7,Str 7-8,Turn 8,Str 8-9,Turn 9,Str 9-10,Turn 10,Str 10-11,Turn 11,Str 11-12,Turn 12,Str 12-13,Turn 13,Str 0-1 (Start),Totals,[ARB_FRONT],[ARB_REAR],[DAMP_BUMP_HF],[DAMP_BUMP_HR],[DAMP_BUMP_LF],[DAMP_BUMP_LR],[DAMP_BUMP_RF],[DAMP_BUMP_RR],[DAMP_FAST_BUMP_HF],[DAMP_FAST_BUMP_HR],[DAMP_FAST_BUMP_LF],[DAMP_FAST_BUMP_LR],[DAMP_FAST_BUMP_RF],[DAMP_FAST_BUMP_RR],[DAMP_FAST_REBOUND_HF],[DAMP_FAST_REBOUND_HR],[DAMP_FAST_REBOUND_LF],[DAMP_FAST_REBOUND_LR],[DAMP_FAST_REBOUND_RF],[DAMP_FAST_REBOUND_RR],[DAMP_REBOUND_HF],[DAMP_REBOUND_HR],[DAMP_REBOUND_LF],[DAMP_REBOUND_LR],[DAMP_REBOUND_RF],[DAMP_REBOUND_RR],[DIFF_COAST],[DIFF_POWER],[DIFF_PRELOAD],[WING_1],[WING_2]
0,5.025,3.351,3.832,1.747,1.389,3.253,5.53,1.304,1.001,1.152,1.106,3.599,2.015,2.518,1.868,2.494,2.545,3.245,8.357,0.716,1.397,1.899,4.858,2.131,1.556,3.021,3.59,74.502,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
1,4.963,3.379,3.865,1.714,1.417,3.247,5.454,1.301,1.0,1.152,1.116,3.607,2.05,2.522,1.865,2.491,2.536,3.295,8.297,0.729,1.38,1.845,4.737,2.106,1.574,3.039,3.598,74.277,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
2,4.96,3.395,3.847,1.755,1.369,3.276,5.62,1.312,1.006,1.156,1.118,3.531,2.017,2.505,1.88,2.537,2.584,3.252,8.332,0.743,1.363,1.773,4.748,2.091,1.582,3.034,3.597,74.384,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
3,4.928,3.373,3.833,1.74,1.384,3.245,5.455,1.303,1.0,1.152,1.106,3.601,2.052,2.553,1.868,2.511,2.528,3.282,8.305,0.758,1.411,1.754,4.675,2.087,1.57,3.031,3.584,74.091,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
4,4.907,3.418,3.825,1.697,1.413,3.229,5.522,1.307,1.003,1.154,1.109,3.605,2.047,2.535,1.901,2.428,2.7,3.246,8.379,0.747,1.412,1.732,4.875,2.109,1.587,3.048,3.611,74.547,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
5,4.949,3.417,3.872,1.738,1.389,3.216,5.456,1.304,1.001,1.155,1.114,3.579,2.039,2.527,1.826,2.486,2.553,3.224,8.327,0.76,1.427,1.834,4.806,2.113,1.579,3.045,3.593,74.331,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
6,4.943,3.375,3.91,1.711,1.354,3.22,5.612,1.316,1.011,1.16,1.109,3.581,2.022,2.488,1.849,2.49,2.584,3.312,8.398,0.742,1.345,1.775,4.779,2.09,1.574,3.032,3.593,74.375,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
7,4.992,3.427,3.826,1.724,1.353,3.289,5.46,1.307,1.003,1.153,1.115,3.6,2.041,2.5,1.802,2.526,2.54,3.226,8.396,0.824,1.408,1.721,4.754,2.121,1.581,3.04,3.596,74.325,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
8,4.99,3.419,3.826,1.691,1.411,3.24,5.538,1.307,1.003,1.155,1.104,3.589,2.026,2.525,1.833,2.513,2.576,3.243,8.373,0.712,1.396,1.839,4.788,2.094,1.551,3.014,3.588,74.344,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
9,4.901,3.43,3.85,1.752,1.39,3.27,5.52,1.307,1.004,1.156,1.122,3.589,2.076,2.578,1.879,2.541,2.523,3.261,8.374,0.82,1.438,1.765,4.719,2.08,1.558,3.025,3.594,74.521,30.0,2.0,19.0,19.0,19.0,18.0,19.0,18.0,10.0,7.0,17.0,6.0,17.0,6.0,18.0,14.0,14.0,9.0,14.0,9.0,16.0,16.0,18.0,17.0,18.0,17.0,30.0,20.0,14.0,24.0,22.0
